"NUMEROPT","CARACTERISTICA"
"9513/2020","Chama Aberta"
"9524/2020","Tratamento Mecânico e Pintura"
"9527/2020","Andaime - Pré-Montagem/Desmontagem"
"9532/2020","Chama Aberta"
"9538/2020","Andaime - Pós-Montagem/Utilização"
"9545/2020","Andaime - Pós-Montagem/Utilização"
"9554/2020","Andaime - Pós-Montagem/Utilização"
"9558/2020","Tratamento Mecânico e Pintura"
"9564/2020","Tratamento Mecânico e Pintura"
"9566/2020","Chama Aberta"
"9566/2020","Andaime - Pós-Montagem/Utilização"
"9567/2020","Andaime - Pré-Montagem/Desmontagem"
"9571/2020","Altura - Acesso por Cordas"
"9592/2020","Elétrico"
"9594/2020","Chama Aberta"
"9595/2020","Andaime - Pós-Montagem/Utilização"
"9601/2020","Tratamento Mecânico e Pintura"
"9615/2020","Andaime - Pós-Montagem/Utilização"
"9623/2020","Espaço Confinado"
"9632/2020","Pressurizado"
"9632/2020","Risco de Perda de Produção"
"9640/2020","Pressurizado"
"9647/2020","Chama Aberta"
"9647/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9652/2020","Altura - Acesso por Cordas"
"9656/2020","Andaime - Pós-Montagem/Utilização"
"9684/2020","Andaime - Pré-Montagem/Desmontagem"
"9689/2020","Altura - Acesso por Cordas"
"9690/2020","Chama Aberta"
"9706/2020","Intervenção Automação - PLC"
"9708/2020","Serviço Crítico"
"9715/2020","Elétrico"
"9718/2020","Andaime - Pré-Montagem/Desmontagem"
"9719/2020","Acesso e trabalho em casas de bombas"
"9722/2020","Esmerilhadeira e Lixadeira"
"9724/2020","Tratamento Mecânico e Pintura"
"9724/2020","Tratamento manual e pintura"
"9726/2020","Chama Aberta"
"9726/2020","Andaime - Pós-Montagem/Utilização"
"9737/2020","Pressurizado"
"9740/2020","Inibição em funções de Controle e Segurança"
"9751/2020","Esmerilhadeira e Lixadeira"
"9759/2020","Altura - Acesso por Cordas"
"9765/2020","Andaime - Pós-Montagem/Utilização"
"9765/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9771/2020","Esmerilhadeira e Lixadeira"
"9780/2020","Altura - Acesso por Cordas"
"9795/2020","Espaço Confinado"
"9819/2020","Esmerilhadeira e Lixadeira"
"9822/2020","Esmerilhadeira e Lixadeira"
"9824/2020","Chama Aberta"
"9827/2020","Elétrico"
"9846/2020","Esmerilhadeira e Lixadeira"
"9853/2020","Pressurizado"
"9864/2020","Altura - Acesso por Cordas"
"9865/2020","Movimentação de Carga"
"9867/2020","Tratamento Mecânico e Pintura"
"9869/2020","Tratamento Mecânico e Pintura"
"9886/2020","Inibição em funções de Controle e Segurança"
"9907/2020","Andaime - Pré-Montagem/Desmontagem"
"9918/2020","Andaime - Pré-Montagem/Desmontagem"
"9942/2020","Andaime - Pós-Montagem/Utilização"
"9949/2020","Pressurizado"
"9950/2020","Altura - Acesso por Cordas"
"9954/2020","Andaime - Pós-Montagem/Utilização"
"9980/2020","Elétrico"
"9993/2020","Andaime - Pós-Montagem/Utilização"
"9996/2020","Chama Aberta"
"10014/2020","Tratamento Mecânico e Pintura"
"10015/2020","Andaime - Pós-Montagem/Utilização"
"10015/2020","Parafusadeira e Torqueadeira"
"10018/2020","Chama Aberta"
"10020/2020","Chama Aberta"
"10029/2020","Andaime - Pré-Montagem/Desmontagem"
"10031/2020","Tratamento Mecânico e Pintura"
"10032/2020","Chama Aberta"
"10040/2020","Elétrico"
"10057/2020","Elétrico"
"10065/2020","Chama Aberta"
"10075/2020","Andaime - Pós-Montagem/Utilização"
"10079/2020","Altura - Acesso por Cordas"
"10083/2020","Pressurizado"
"10086/2020","Chama Aberta"
"10096/2020","Hidrojateamento"
"10097/2020","Andaime - Pós-Montagem/Utilização"
"10101/2020","Noturno"
"10102/2020","Serviço Crítico"
"10107/2020","Elétrico"
"10119/2020","Andaime - Pré-Montagem/Desmontagem"
"10123/2020","Andaime - Pós-Montagem/Utilização"
"10130/2020","Andaime - Pós-Montagem/Utilização"
"10135/2020","Tratamento manual e pintura"
"10142/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10145/2020","Chama Aberta"
"10157/2020","Esmerilhadeira e Lixadeira"
"10161/2020","Andaime - Pré-Montagem/Desmontagem"
"10165/2020","Pressurizado"
"10196/2020","Pressurizado"
"10206/2020","Esmerilhadeira e Lixadeira"
"10206/2020","Tratamento manual e pintura"
"10210/2020","Andaime - Pós-Montagem/Utilização"
"10210/2020","Esmerilhadeira e Lixadeira"
"10218/2020","Hidrojateamento"
"10224/2020","Tratamento manual e pintura"
"10229/2020","Pressurizado"
"10235/2020","Andaime - Pós-Montagem/Utilização"
"10237/2020","Chama Aberta"
"10237/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10247/2020","Andaime - Pré-Montagem/Desmontagem"
"10247/2020","Andaime - Pós-Montagem/Utilização"
"10251/2020","Andaime - Pós-Montagem/Utilização"
"10255/2020","Pressurizado"
"10276/2020","Tratamento Mecânico e Pintura"
"10278/2020","Noturno"
"10278/2020","Parafusadeira e Torqueadeira"
"10280/2020","Andaime - Pré-Montagem/Desmontagem"
"10285/2020","Tratamento Mecânico e Pintura"
"10291/2020","Andaime - Pós-Montagem/Utilização"
"10296/2020","Serviço Crítico"
"10305/2020","Tratamento Mecânico e Pintura"
"10308/2020","Tratamento Mecânico e Pintura"
"10313/2020","Chama Aberta"
"10319/2020","Elétrico"
"10325/2020","Andaime - Pré-Montagem/Desmontagem"
"10327/2020","Espaço Confinado"
"10334/2020","Andaime - Pré-Montagem/Desmontagem"
"10340/2020","Tratamento Mecânico e Pintura"
"10342/2020","Chama Aberta"
"10345/2020","Pressurizado"
"10345/2020","Uso de Marreta"
"10349/2020","Altura - Acesso por Cordas"
"10377/2020","Parafusadeira e Torqueadeira"
"10378/2020","Andaime - Pós-Montagem/Utilização"
"10379/2020","Andaime - Pré-Montagem/Desmontagem"
"10387/2020","Chama Aberta"
"10391/2020","Andaime - Pós-Montagem/Utilização"
"10391/2020","Parafusadeira e Torqueadeira"
"10394/2020","Andaime - Pós-Montagem/Utilização"
"10394/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10399/2020","Chama Aberta"
"10399/2020","Andaime - Pós-Montagem/Utilização"
"10406/2020","Pressurizado"
"10413/2020","Andaime - Pós-Montagem/Utilização"
"10414/2020","Chama Aberta"
"10415/2020","Chama Aberta"
"10415/2020","Esmerilhadeira e Lixadeira"
"10425/2020","Parafusadeira e Torqueadeira"
"10433/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10439/2020","Serviço Crítico"
"10447/2020","Chama Aberta"
"10449/2020","Chama Aberta"
"10449/2020","Movimentação de Carga"
"10449/2020","Andaime - Pós-Montagem/Utilização"
"10449/2020","Esmerilhadeira e Lixadeira"
"10451/2020","Esmerilhadeira e Lixadeira"
"10451/2020","Parafusadeira e Torqueadeira"
"10461/2020","Serviço Crítico"
"10465/2020","Chama Aberta"
"10465/2020","Altura - Acesso por Cordas"
"10479/2020","Andaime - Pré-Montagem/Desmontagem"
"10491/2020","Risco de Perda de Produção"
"2/2020","Andaime - Pós-Montagem/Utilização"
"6/2020","Tratamento Mecânico e Pintura"
"13/2020","Elétrico"
"35/2020","Risco de Perda de Produção"
"42/2020","Tratamento Mecânico e Pintura"
"44/2020","Tratamento Mecânico e Pintura"
"47/2020","Tratamento Mecânico e Pintura"
"51/2020","Chama Aberta"
"69/2020","Risco de Perda de Produção"
"72/2020","Andaime - Pós-Montagem/Utilização"
"73/2020","Pressurizado"
"81/2020","Tratamento manual e pintura"
"87/2020","Uso de Marreta"
"92/2020","Risco de Perda de Produção"
"98/2020","Altura - Acesso por Cordas"
"106/2020","Pressurizado"
"108/2020","Chama Aberta"
"110/2020","Hidrojateamento"
"112/2020","Andaime - Pós-Montagem/Utilização"
"114/2020","Andaime - Pré-Montagem/Desmontagem"
"122/2020","Chama Aberta"
"122/2020","Andaime - Pós-Montagem/Utilização"
"129/2020","Andaime - Pré-Montagem/Desmontagem"
"131/2020","Sobre o Mar"
"140/2020","Andaime - Pós-Montagem/Utilização"
"160/2020","Pressurizado"
"162/2020","Andaime - Pré-Montagem/Desmontagem"
"165/2020","Altura - Acesso por Cordas"
"174/2020","Pressurizado"
"202/2020","Altura - Acesso por Cordas"
"204/2020","Andaime - Pré-Montagem/Desmontagem"
"218/2020","Pressurizado"
"220/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"221/2020","Hidrojateamento"
"223/2020","Pressurizado"
"242/2020","Andaime - Pré-Montagem/Desmontagem"
"243/2020","Pressurizado"
"248/2020","Uso de Marreta"
"261/2020","Elétrico"
"300/2020","Pressurizado"
"329/2020","Intervenção Automação - PLC"
"352/2020","Pressurizado"
"362/2020","Chama Aberta"
"376/2020","Andaime - Pré-Montagem/Desmontagem"
"385/2020","Pressurizado"
"414/2020","Chama Aberta"
"418/2020","Espaço Confinado"
"433/2020","Pressurizado"
"437/2020","Elétrico"
"450/2020","Chama Aberta"
"452/2020","Tratamento Mecânico e Pintura"
"459/2020","Andaime - Pré-Montagem/Desmontagem"
"476/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"479/2020","Andaime - Pós-Montagem/Utilização"
"488/2020","Andaime - Pré-Montagem/Desmontagem"
"493/2020","Serviço Crítico"
"493/2020","Chama Aberta"
"494/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"499/2020","Sobre o Mar"
"507/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"543/2020","Chama Aberta"
"560/2020","Andaime - Pós-Montagem/Utilização"
"561/2020","Espaço Confinado"
"561/2020","Chama Aberta"
"561/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"565/2020","Pressurizado"
"569/2020","Chama Aberta"
"575/2020","Andaime - Pré-Montagem/Desmontagem"
"576/2020","Elétrico"
"615/2020","Espaço Confinado"
"617/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"623/2020","Espaço Confinado"
"645/2020","Andaime - Pós-Montagem/Utilização"
"674/2020","Altura - Acesso por Cordas"
"674/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"678/2020","Tratamento Mecânico e Pintura"
"691/2020","Tratamento Mecânico e Pintura"
"692/2020","Pressurizado"
"726/2020","Elétrico"
"734/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"738/2020","Andaime - Pré-Montagem/Desmontagem"
"752/2020","Altura - Acesso por Cordas"
"756/2020","Chama Aberta"
"758/2020","Pressurizado"
"769/2020","Altura - Acesso por Cordas"
"772/2020","Elétrico"
"779/2020","Noturno"
"788/2020","Andaime - Pós-Montagem/Utilização"
"837/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"843/2020","Altura - Acesso por Cordas"
"845/2020","Elétrico"
"877/2020","Uso de Marreta"
"879/2020","Pressurizado"
"898/2020","Hidrojateamento"
"902/2020","Pressurizado"
"910/2020","Andaime - Pós-Montagem/Utilização"
"917/2020","Elétrico"
"918/2020","Altura - Acesso por Cordas"
"927/2020","Sobre o Mar"
"931/2020","Pressurizado"
"937/2020","Pressurizado"
"953/2020","Andaime - Pré-Montagem/Desmontagem"
"957/2020","Altura - Acesso por Cordas"
"967/2020","Andaime - Pré-Montagem/Desmontagem"
"969/2020","Espaço Confinado"
"970/2020","Chama Aberta"
"994/2020","Altura - Acesso por Cordas"
"1020/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"1029/2020","Pressurizado"
"1033/2020","Andaime - Pós-Montagem/Utilização"
"1053/2020","Pressurizado"
"1068/2020","Espaço Confinado"
"1081/2020","Andaime - Pós-Montagem/Utilização"
"1087/2020","Intervenção Automação - PLC"
"1128/2020","Altura - Acesso por Cordas"
"1134/2020","Pressurizado"
"1136/2020","Elétrico"
"1180/2020","Pressurizado"
"1186/2020","Andaime - Pré-Montagem/Desmontagem"
"1198/2020","Pressurizado"
"1206/2020","Pressurizado"
"1219/2020","Andaime - Pós-Montagem/Utilização"
"1236/2020","Andaime - Pré-Montagem/Desmontagem"
"1242/2020","Tratamento Mecânico e Pintura"
"1245/2020","Andaime - Pré-Montagem/Desmontagem"
"1247/2020","Pressurizado"
"1260/2020","Elétrico"
"1261/2020","Sobre o Mar"
"1264/2020","Altura - Acesso por Cordas"
"1275/2020","Tratamento Mecânico e Pintura"
"1276/2020","Andaime - Pós-Montagem/Utilização"
"1301/2020","Espaço Confinado"
"1312/2020","Andaime - Pré-Montagem/Desmontagem"
"1324/2020","Sobre o Mar"
"1337/2020","Chama Aberta"
"1345/2020","Altura - Acesso por Cordas"
"1348/2020","Hidrojateamento"
"1350/2020","Pressurizado"
"1354/2020","Elétrico"
"1365/2020","Andaime - Pós-Montagem/Utilização"
"1367/2020","Risco de Perda de Produção"
"1369/2020","Tratamento Mecânico e Pintura"
"1398/2020","Serviço Crítico"
"1401/2020","Espaço Confinado"
"1414/2020","Tratamento Mecânico e Pintura"
"1422/2020","Espaço Confinado"
"1434/2020","Tratamento Mecânico e Pintura"
"1437/2020","Altura - Acesso por Cordas"
"1456/2020","Pressurizado"
"1478/2020","Elétrico"
"1487/2020","Inibição em funções de Controle e Segurança"
"1491/2020","Inibição em funções de Controle e Segurança"
"1492/2020","Inibição em funções de Controle e Segurança"
"1495/2020","Pressurizado"
"1504/2020","Andaime - Pré-Montagem/Desmontagem"
"1508/2020","Pressurizado"
"1522/2020","Pressurizado"
"1563/2020","Risco de Perda de Produção"
"1567/2020","Risco de Perda de Produção"
"1578/2020","Gás Inflamável"
"1627/2020","Chama Aberta"
"1636/2020","Pressurizado"
"1645/2020","Chama Aberta"
"1649/2020","Sobre o Mar"
"1657/2020","Sobre o Mar"
"1673/2020","Tratamento Mecânico e Pintura"
"1679/2020","Pressurizado"
"1695/2020","Tratamento Mecânico e Pintura"
"1695/2020","Andaime - Pós-Montagem/Utilização"
"1701/2020","Pressurizado"
"1707/2020","Elétrico"
"1715/2020","Elétrico"
"1716/2020","Elétrico"
"1739/2020","Pressurizado"
"1748/2020","Chama Aberta"
"1760/2020","Tratamento Mecânico e Pintura"
"1764/2020","Tratamento Mecânico e Pintura"
"1779/2020","Tratamento Mecânico e Pintura"
"1799/2020","Tratamento Mecânico e Pintura"
"1800/2020","Tratamento Mecânico e Pintura"
"1813/2020","Espaço Confinado"
"1815/2020","Altura - Acesso por Cordas"
"1837/2020","Tratamento Mecânico e Pintura"
"1838/2020","Elétrico"
"1850/2020","Intervenção Automação - PLC"
"1870/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"1878/2020","Pressurizado"
"1884/2020","Chama Aberta"
"1934/2020","Andaime - Pré-Montagem/Desmontagem"
"1946/2020","Altura - Acesso por Cordas"
"1958/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"1970/2020","Elétrico"
"1981/2020","Tratamento Mecânico e Pintura"
"1986/2020","Andaime - Pré-Montagem/Desmontagem"
"1988/2020","Andaime - Pré-Montagem/Desmontagem"
"2007/2020","Elétrico"
"2010/2020","Pressurizado"
"2015/2020","Altura - Acesso por Cordas"
"2042/2020","Andaime - Pós-Montagem/Utilização"
"2053/2020","Pressurizado"
"2057/2020","Andaime - Pós-Montagem/Utilização"
"2097/2020","Tratamento Mecânico e Pintura"
"2126/2020","Risco de Perda de Produção"
"2130/2020","Chama Aberta"
"2137/2020","Tratamento Mecânico e Pintura"
"2137/2020","Andaime - Pós-Montagem/Utilização"
"2157/2020","Risco de Perda de Produção"
"2164/2020","Chama Aberta"
"2173/2020","Chama Aberta"
"2236/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2239/2020","Chama Aberta"
"2241/2020","Pressurizado"
"2258/2020","Andaime - Pré-Montagem/Desmontagem"
"2259/2020","Andaime - Pré-Montagem/Desmontagem"
"2262/2020","Andaime - Pós-Montagem/Utilização"
"2274/2020","Andaime - Pré-Montagem/Desmontagem"
"2281/2020","Elétrico"
"2282/2020","Tratamento Mecânico e Pintura"
"2288/2020","Pressurizado"
"2293/2020","Altura - Acesso por Cordas"
"2295/2020","Risco de Perda de Produção"
"2306/2020","Pressurizado"
"2311/2020","Pressurizado"
"2313/2020","Elétrico"
"2327/2020","Elétrico"
"2333/2020","Andaime - Pré-Montagem/Desmontagem"
"2335/2020","Andaime - Pré-Montagem/Desmontagem"
"2339/2020","Risco de Perda de Produção"
"2343/2020","Tratamento Mecânico e Pintura"
"2348/2020","Altura - Acesso por Cordas"
"2352/2020","Tratamento Mecânico e Pintura"
"2365/2020","Pressurizado"
"2383/2020","Altura - Acesso por Cordas"
"2391/2020","Chama Aberta"
"2394/2020","Altura - Acesso por Cordas"
"2423/2020","Pressurizado"
"2437/2020","Andaime - Pré-Montagem/Desmontagem"
"2453/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2468/2020","Pressurizado"
"2473/2020","Andaime - Pós-Montagem/Utilização"
"2490/2020","Andaime - Pré-Montagem/Desmontagem"
"2513/2020","Pressurizado"
"2527/2020","Andaime - Pré-Montagem/Desmontagem"
"2539/2020","Andaime - Pós-Montagem/Utilização"
"2545/2020","Andaime - Pré-Montagem/Desmontagem"
"2584/2020","Espaço Confinado"
"2585/2020","Pressurizado"
"2586/2020","Pressurizado"
"2617/2020","Risco de Perda de Produção"
"2634/2020","Pressurizado"
"2639/2020","Tratamento Mecânico e Pintura"
"2640/2020","Chama Aberta"
"2663/2020","Pressurizado"
"2666/2020","Altura - Acesso por Cordas"
"2679/2020","Altura - Acesso por Cordas"
"2681/2020","Pressurizado"
"2683/2020","Pressurizado"
"2712/2020","Altura - Acesso por Cordas"
"2722/2020","Altura - Acesso por Cordas"
"2731/2020","Andaime - Pré-Montagem/Desmontagem"
"2737/2020","Elétrico"
"2743/2020","Chama Aberta"
"2748/2020","Espaço Confinado"
"2757/2020","Altura - Acesso por Cordas"
"2781/2020","Pressurizado"
"2786/2020","Elétrico"
"2792/2020","Pressurizado"
"2795/2020","Andaime - Pós-Montagem/Utilização"
"2796/2020","Pressurizado"
"2798/2020","Elétrico"
"2832/2020","Tratamento Mecânico e Pintura"
"2855/2020","Espaço Confinado"
"2855/2020","Andaime - Pré-Montagem/Desmontagem"
"2866/2020","Andaime - Pós-Montagem/Utilização"
"2870/2020","Chama Aberta"
"2878/2020","Pressurizado"
"2903/2020","Gás Inflamável"
"2906/2020","Pressurizado"
"2909/2020","Andaime - Pós-Montagem/Utilização"
"2930/2020","Altura - Acesso por Cordas"
"2943/2020","Andaime - Pós-Montagem/Utilização"
"2947/2020","Altura - Acesso por Cordas"
"2947/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2964/2020","Andaime - Pós-Montagem/Utilização"
"2986/2020","Chama Aberta"
"3001/2020","Chama Aberta"
"3013/2020","Chama Aberta"
"3046/2020","Altura - Acesso por Cordas"
"3059/2020","Andaime - Pré-Montagem/Desmontagem"
"3065/2020","Altura - Acesso por Cordas"
"3069/2020","Pressurizado"
"3131/2020","Risco de Perda de Produção"
"3131/2020","Intervenção Automação - PLC"
"3142/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3145/2020","Andaime - Pós-Montagem/Utilização"
"3146/2020","Pressurizado"
"3150/2020","Elétrico"
"3188/2020","Elétrico"
"3194/2020","Pressurizado"
"3195/2020","Andaime - Pré-Montagem/Desmontagem"
"3199/2020","Andaime - Pré-Montagem/Desmontagem"
"3224/2020","Pressurizado"
"3225/2020","Pressurizado"
"3228/2020","Risco de Perda de Produção"
"3229/2020","Elétrico"
"3244/2020","Inibição em funções de Controle e Segurança"
"3249/2020","Pressurizado"
"3254/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3259/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3260/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3263/2020","Altura - Acesso por Cordas"
"3278/2020","Elétrico"
"3295/2020","Pressurizado"
"3300/2020","Sobre o Mar"
"3300/2020","Andaime - Pré-Montagem/Desmontagem"
"3304/2020","Elétrico"
"3311/2020","Pressurizado"
"3311/2020","Andaime - Pós-Montagem/Utilização"
"3315/2020","Andaime - Pré-Montagem/Desmontagem"
"3320/2020","Altura - Acesso por Cordas"
"3322/2020","Altura - Acesso por Cordas"
"3339/2020","Pressurizado"
"3349/2020","Andaime - Pós-Montagem/Utilização"
"3356/2020","Inibição em funções de Controle e Segurança"
"3364/2020","Chama Aberta"
"3368/2020","Elétrico"
"3371/2020","Pressurizado"
"3387/2020","Pressurizado"
"3390/2020","Andaime - Pré-Montagem/Desmontagem"
"3400/2020","Tratamento Mecânico e Pintura"
"3402/2020","Sobre o Mar"
"3410/2020","Chama Aberta"
"3429/2020","Risco de Perda de Produção"
"3432/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3451/2020","Elétrico"
"3464/2020","Altura - Acesso por Cordas"
"3479/2020","Pressurizado"
"3482/2020","Elétrico"
"3503/2020","Pressurizado"
"3507/2020","Tratamento Mecânico e Pintura"
"3510/2020","Chama Aberta"
"3525/2020","Elétrico"
"3529/2020","Pressurizado"
"3542/2020","Andaime - Pós-Montagem/Utilização"
"3543/2020","Sobre o Mar"
"3544/2020","Chama Aberta"
"3551/2020","Inibição em funções de Controle e Segurança"
"3562/2020","Sobre o Mar"
"3564/2020","Andaime - Pós-Montagem/Utilização"
"3567/2020","Chama Aberta"
"3568/2020","Sobre o Mar"
"3573/2020","Elétrico"
"3588/2020","Andaime - Pós-Montagem/Utilização"
"3589/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3620/2020","Chama Aberta"
"3620/2020","Andaime - Pós-Montagem/Utilização"
"3639/2020","Andaime - Pré-Montagem/Desmontagem"
"3641/2020","Pressurizado"
"3645/2020","Serviço Crítico"
"3652/2020","Sobre o Mar"
"3690/2020","Pressurizado"
"3711/2020","Tratamento manual e pintura"
"3722/2020","Sobre o Mar"
"3723/2020","Pressurizado"
"3725/2020","Pressurizado"
"3736/2020","Pressurizado"
"3744/2020","Hidrojateamento"
"3759/2020","Altura - Acesso por Cordas"
"3776/2020","Pressurizado"
"3795/2020","Altura - Acesso por Cordas"
"3795/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3800/2020","Pressurizado"
"3804/2020","Elétrico"
"3820/2020","Chama Aberta"
"3836/2020","Elétrico"
"3836/2020","Altura - Acesso por Cordas"
"3858/2020","Espaço Confinado"
"3875/2020","Andaime - Pós-Montagem/Utilização"
"3880/2020","Andaime - Pós-Montagem/Utilização"
"3884/2020","Altura - Acesso por Cordas"
"3894/2020","Altura - Acesso por Cordas"
"3898/2020","Elétrico"
"3901/2020","Chama Aberta"
"3911/2020","Andaime - Pré-Montagem/Desmontagem"
"3916/2020","Andaime - Pós-Montagem/Utilização"
"3927/2020","Chama Aberta"
"3930/2020","Chama Aberta"
"3931/2020","Andaime - Pré-Montagem/Desmontagem"
"3953/2020","Tratamento Mecânico e Pintura"
"3953/2020","Tratamento manual e pintura"
"3975/2020","Pressurizado"
"3998/2020","Pressurizado"
"4000/2020","Pressurizado"
"4000/2020","Andaime - Pós-Montagem/Utilização"
"4003/2020","Tratamento Mecânico e Pintura"
"4004/2020","Andaime - Pré-Montagem/Desmontagem"
"4011/2020","Teste Hidrostático"
"4043/2020","Andaime - Pré-Montagem/Desmontagem"
"4048/2020","Pressurizado"
"4054/2020","Andaime - Pós-Montagem/Utilização"
"4061/2020","Pressurizado"
"4065/2020","Andaime - Pós-Montagem/Utilização"
"4068/2020","Espaço Confinado"
"4072/2020","Chama Aberta"
"4072/2020","Andaime - Pós-Montagem/Utilização"
"4083/2020","Chama Aberta"
"4090/2020","Altura - Acesso por Cordas"
"4091/2020","Intervenção Automação - PLC"
"4096/2020","Sobre o Mar"
"4102/2020","Elétrico"
"4110/2020","Sobre o Mar"
"4111/2020","Pressurizado"
"4131/2020","Andaime - Pré-Montagem/Desmontagem"
"4134/2020","Pressurizado"
"4139/2020","Uso de Marreta"
"4143/2020","Elétrico"
"4155/2020","Chama Aberta"
"4175/2020","Chama Aberta"
"4186/2020","Andaime - Pós-Montagem/Utilização"
"4187/2020","Hidrojateamento"
"4189/2020","Uso de Marreta"
"4191/2020","Elétrico"
"4205/2020","Pressurizado"
"4211/2020","Sobre o Mar"
"4224/2020","Pressurizado"
"4264/2020","Serviço Crítico"
"4267/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4267/2020","Uso de Marreta"
"4317/2020","Pressurizado"
"4322/2020","Chama Aberta"
"4332/2020","Pressurizado"
"4371/2020","Intervenção Automação - PLC"
"4386/2020","Intervenção Automação - PLC"
"4403/2020","Elétrico"
"4412/2020","Andaime - Pós-Montagem/Utilização"
"4464/2020","Pressurizado"
"4489/2020","Serviço Crítico"
"4500/2020","Andaime - Pré-Montagem/Desmontagem"
"4505/2020","Andaime - Pré-Montagem/Desmontagem"
"4528/2020","Risco de Perda de Produção"
"4528/2020","Intervenção Automação - PLC"
"4531/2020","Inibição em funções de Controle e Segurança"
"4536/2020","Altura - Acesso por Cordas"
"4540/2020","Altura - Acesso por Cordas"
"4545/2020","Andaime - Pós-Montagem/Utilização"
"4552/2020","Pressurizado"
"4555/2020","Tratamento Mecânico e Pintura"
"4561/2020","Pressurizado"
"4568/2020","Elétrico"
"4588/2020","Andaime - Pós-Montagem/Utilização"
"4601/2020","Pressurizado"
"4607/2020","Pressurizado"
"4609/2020","Elétrico"
"4610/2020","Elétrico"
"4617/2020","Tratamento manual e pintura"
"4618/2020","Tratamento Mecânico e Pintura"
"4623/2020","Andaime - Pós-Montagem/Utilização"
"4625/2020","Andaime - Pós-Montagem/Utilização"
"4640/2020","Altura - Acesso por Cordas"
"4644/2020","Chama Aberta"
"4649/2020","Altura - Acesso por Cordas"
"4659/2020","Andaime - Pré-Montagem/Desmontagem"
"4675/2020","Pressurizado"
"4688/2020","Intervenção Automação - PLC"
"4692/2020","Pressurizado"
"4698/2020","Chama Aberta"
"4702/2020","Chama Aberta"
"4713/2020","Pressurizado"
"4715/2020","Elétrico"
"4740/2020","Elétrico"
"4753/2020","Inibição em funções de Controle e Segurança"
"4755/2020","Serviço Crítico"
"4761/2020","Tratamento manual e pintura"
"4771/2020","Tratamento Mecânico e Pintura"
"4774/2020","Elétrico"
"4798/2020","Pressurizado"
"4807/2020","Altura - Acesso por Cordas"
"4809/2020","Pressurizado"
"4814/2020","Andaime - Pós-Montagem/Utilização"
"4816/2020","Elétrico"
"4829/2020","Pressurizado"
"4835/2020","Elétrico"
"4845/2020","Chama Aberta"
"4853/2020","Andaime - Pós-Montagem/Utilização"
"4876/2020","Elétrico"
"4893/2020","Pressurizado"
"4893/2020","Altura - Acesso por Cordas"
"4893/2020","Inibição em funções de Controle e Segurança"
"4897/2020","Chama Aberta"
"4899/2020","Sobre o Mar"
"4906/2020","Andaime - Pós-Montagem/Utilização"
"4918/2020","Pressurizado"
"4922/2020","Pressurizado"
"4928/2020","Intervenção Automação - PLC"
"4930/2020","Elétrico"
"4933/2020","Chama Aberta"
"4939/2020","Pressurizado"
"4943/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4951/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4954/2020","Elétrico"
"4961/2020","Elétrico"
"4965/2020","Intervenção Automação - PLC"
"4984/2020","Pressurizado"
"4988/2020","Risco de Perda de Produção"
"4988/2020","Inibição em funções de Controle e Segurança"
"5001/2020","Pressurizado"
"5011/2020","Espaço Confinado"
"5012/2020","Pressurizado"
"5012/2020","Intervenção Automação - PLC"
"5017/2020","Elétrico"
"5024/2020","Elétrico"
