"NUMEROPT","CARACTERISTICA"
"2151/2020","Altura - Acesso por Cordas"
"2151/2020","Risco de Perda de Produção"
"2158/2020","Andaime - Pré-Montagem/Desmontagem"
"2166/2020","Andaime - Pré-Montagem/Desmontagem"
"2169/2020","Pressurizado"
"2184/2020","Elétrico"
"2208/2020","Altura - Acesso por Cordas"
"2208/2020","Risco de Perda de Produção"
"2216/2020","Pressurizado"
"2222/2020","Pressurizado"
"2263/2020","Andaime - Pré-Montagem/Desmontagem"
"2264/2020","Andaime - Pós-Montagem/Utilização"
"2268/2020","Altura - Acesso por Cordas"
"2276/2020","Pressurizado"
"2277/2020","Chama Aberta"
"2295/2020","Serviço Crítico"
"2314/2020","Elétrico"
"2315/2020","Elétrico"
"2321/2020","Elétrico"
"2363/2020","Altura - Acesso por Cordas"
"2373/2020","Andaime - Pré-Montagem/Desmontagem"
"2374/2020","Andaime - Pré-Montagem/Desmontagem"
"2388/2020","Andaime - Pré-Montagem/Desmontagem"
"2389/2020","Sobre o Mar"
"2396/2020","Elétrico"
"2409/2020","Andaime - Pré-Montagem/Desmontagem"
"2420/2020","Andaime - Pós-Montagem/Utilização"
"2435/2020","Andaime - Pré-Montagem/Desmontagem"
"2453/2020","Chama Aberta"
"2459/2020","Altura - Acesso por Cordas"
"2470/2020","Chama Aberta"
"2472/2020","Elétrico"
"2481/2020","Andaime - Pós-Montagem/Utilização"
"2496/2020","Andaime - Pré-Montagem/Desmontagem"
"2501/2020","Elétrico"
"2503/2020","Pressurizado"
"2506/2020","Elétrico"
"2509/2020","Risco de Perda de Produção"
"2513/2020","Andaime - Pós-Montagem/Utilização"
"2515/2020","Altura - Acesso por Cordas"
"2522/2020","Pressurizado"
"2526/2020","Altura - Acesso por Cordas"
"2532/2020","Elétrico"
"2551/2020","Andaime - Pós-Montagem/Utilização"
"2560/2020","Andaime - Pós-Montagem/Utilização"
"2561/2020","Tratamento manual e pintura"
"2566/2020","Pressurizado"
"2572/2020","Pressurizado"
"2575/2020","Andaime - Pré-Montagem/Desmontagem"
"2576/2020","Sobre o Mar"
"2588/2020","Elétrico"
"2602/2020","Elétrico"
"2637/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2638/2020","Altura - Acesso por Cordas"
"2643/2020","Andaime - Pós-Montagem/Utilização"
"2668/2020","Elétrico"
"2699/2020","Serviço Crítico"
"2699/2020","Chama Aberta"
"2739/2020","Altura - Acesso por Cordas"
"2747/2020","Andaime - Pré-Montagem/Desmontagem"
"2761/2020","Pressurizado"
"2773/2020","Pressurizado"
"2788/2020","Pressurizado"
"2791/2020","Andaime - Pré-Montagem/Desmontagem"
"2793/2020","Andaime - Pré-Montagem/Desmontagem"
"2795/2020","Pressurizado"
"2804/2020","Risco de Perda de Produção"
"2817/2020","Andaime - Pré-Montagem/Desmontagem"
"2818/2020","Andaime - Pós-Montagem/Utilização"
"2836/2020","Tratamento Mecânico e Pintura"
"2838/2020","Tratamento Mecânico e Pintura"
"2841/2020","Andaime - Pré-Montagem/Desmontagem"
"2848/2020","Elétrico"
"2870/2020","Espaço Confinado"
"2888/2020","Chama Aberta"
"2894/2020","Andaime - Pré-Montagem/Desmontagem"
"2896/2020","Andaime - Pré-Montagem/Desmontagem"
"2907/2020","Tratamento manual e pintura"
"2917/2020","Andaime - Pré-Montagem/Desmontagem"
"2926/2020","Chama Aberta"
"2928/2020","Sobre o Mar"
"2929/2020","Sobre o Mar"
"2929/2020","Altura - Acesso por Cordas"
"2931/2020","Sobre o Mar"
"2932/2020","Altura - Acesso por Cordas"
"2937/2020","Altura - Acesso por Cordas"
"2948/2020","Andaime - Pré-Montagem/Desmontagem"
"2952/2020","Altura - Acesso por Cordas"
"2978/2020","Pressurizado"
"3015/2020","Tratamento Mecânico e Pintura"
"3022/2020","Inibição em funções de Controle e Segurança"
"3030/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3052/2020","Andaime - Pré-Montagem/Desmontagem"
"3053/2020","Intervenção Automação - PLC"
"3056/2020","Espaço Confinado"
"3056/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3058/2020","Chama Aberta"
"3060/2020","Andaime - Pós-Montagem/Utilização"
"3103/2020","Sobre o Mar"
"3104/2020","Pressurizado"
"3116/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3117/2020","Elétrico"
"3123/2020","Pressurizado"
"3138/2020","Altura - Acesso por Cordas"
"3142/2020","Pressurizado"
"3159/2020","Elétrico"
"3160/2020","Inibição em funções de Controle e Segurança"
"3166/2020","Pressurizado"
"3173/2020","Andaime - Pré-Montagem/Desmontagem"
"3197/2020","Chama Aberta"
"3197/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3205/2020","Pressurizado"
"3206/2020","Inibição em funções de Controle e Segurança"
"3233/2020","Altura - Acesso por Cordas"
"3234/2020","Inibição em funções de Controle e Segurança"
"3239/2020","Altura - Acesso por Cordas"
"3253/2020","Sobre o Mar"
"3261/2020","Chama Aberta"
"3269/2020","Tratamento Mecânico e Pintura"
"3274/2020","Risco de Perda de Produção"
"3298/2020","Andaime - Pós-Montagem/Utilização"
"3299/2020","Andaime - Pré-Montagem/Desmontagem"
"3316/2020","Andaime - Pré-Montagem/Desmontagem"
"3317/2020","Pressurizado"
"3318/2020","Chama Aberta"
"3318/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3320/2020","Elétrico"
"3327/2020","Risco de Perda de Produção"
"3337/2020","Tratamento Mecânico e Pintura"
"3357/2020","Pressurizado"
"3374/2020","Andaime - Pré-Montagem/Desmontagem"
"3378/2020","Pressurizado"
"3391/2020","Andaime - Pré-Montagem/Desmontagem"
"3426/2020","Altura - Acesso por Cordas"
"3441/2020","Altura - Acesso por Cordas"
"3460/2020","Altura - Acesso por Cordas"
"3488/2020","Altura - Acesso por Cordas"
"3494/2020","Andaime - Pós-Montagem/Utilização"
"3498/2020","Andaime - Pré-Montagem/Desmontagem"
"3512/2020","Serviço Crítico"
"3517/2020","Inibição em funções de Controle e Segurança"
"3524/2020","Pressurizado"
"3536/2020","Tratamento Mecânico e Pintura"
"3545/2020","Altura - Acesso por Cordas"
"3563/2020","Pressurizado"
"3565/2020","Pressurizado"
"3568/2020","Andaime - Pré-Montagem/Desmontagem"
"3569/2020","Pressurizado"
"3572/2020","Elétrico"
"3577/2020","Pressurizado"
"3579/2020","Pressurizado"
"3587/2020","Risco de Perda de Produção"
"3588/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3592/2020","Pressurizado"
"3598/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3601/2020","Andaime - Pré-Montagem/Desmontagem"
"3602/2020","Andaime - Pós-Montagem/Utilização"
"3612/2020","Elétrico"
"3613/2020","Elétrico"
"3644/2020","Risco de Perda de Produção"
"3645/2020","Andaime - Pós-Montagem/Utilização"
"3653/2020","Altura - Acesso por Cordas"
"3663/2020","Pressurizado"
"3674/2020","Chama Aberta"
"3677/2020","Chama Aberta"
"3682/2020","Elétrico"
"3685/2020","Andaime - Pré-Montagem/Desmontagem"
"3702/2020","Risco de Perda de Produção"
"3742/2020","Pressurizado"
"3745/2020","Hidrojateamento"
"3750/2020","Serviço Crítico"
"3750/2020","Hidrojateamento"
"3751/2020","Pressurizado"
"3769/2020","Uso de Marreta"
"3771/2020","Chama Aberta"
"3785/2020","Sobre o Mar"
"3807/2020","Elétrico"
"3811/2020","Altura - Acesso por Cordas"
"3813/2020","Andaime - Pré-Montagem/Desmontagem"
"3839/2020","Elétrico"
"3864/2020","Risco de Perda de Produção"
"3885/2020","Chama Aberta"
"3904/2020","Andaime - Pós-Montagem/Utilização"
"3904/2020","Tratamento manual e pintura"
"3908/2020","Tratamento manual e pintura"
"3909/2020","Serviço Crítico"
"3919/2020","Risco de Perda de Produção"
"3925/2020","Andaime - Pré-Montagem/Desmontagem"
"3929/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3941/2020","Andaime - Pós-Montagem/Utilização"
"3944/2020","Chama Aberta"
"3963/2020","Chama Aberta"
"3978/2020","Andaime - Pré-Montagem/Desmontagem"
"4001/2020","Pressurizado"
"4024/2020","Andaime - Pré-Montagem/Desmontagem"
"4031/2020","Pressurizado"
"4114/2020","Tratamento manual e pintura"
"4119/2020","Pressurizado"
"4128/2020","Andaime - Pós-Montagem/Utilização"
"4132/2020","Andaime - Pré-Montagem/Desmontagem"
"4136/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4161/2020","Uso de Marreta"
"4173/2020","Pressurizado"
"4174/2020","Chama Aberta"
"4183/2020","Andaime - Pré-Montagem/Desmontagem"
"4190/2020","Chama Aberta"
"4193/2020","Elétrico"
"4204/2020","Andaime - Pré-Montagem/Desmontagem"
"4209/2020","Andaime - Pós-Montagem/Utilização"
"4214/2020","Intervenção Automação - PLC"
"4221/2020","Elétrico"
"4238/2020","Risco de Perda de Produção"
"4243/2020","Pressurizado"
"4273/2020","Serviço Crítico"
"4284/2020","Andaime - Pré-Montagem/Desmontagem"
"4287/2020","Pressurizado"
"4303/2020","Pressurizado"
"4316/2020","Pressurizado"
"4325/2020","Pressurizado"
"4328/2020","Chama Aberta"
"4328/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4351/2020","Chama Aberta"
"4351/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4353/2020","Pressurizado"
"4360/2020","Andaime - Pré-Montagem/Desmontagem"
"4372/2020","Pressurizado"
"4380/2020","Pressurizado"
"4384/2020","Tratamento manual e pintura"
"4436/2020","Andaime - Pré-Montagem/Desmontagem"
"4449/2020","Pressurizado"
"4471/2020","Chama Aberta"
"4474/2020","Pressurizado"
"4479/2020","Pressurizado"
"4480/2020","Elétrico"
"4489/2020","Risco de Perda de Produção"
"4497/2020","Chama Aberta"
"4499/2020","Chama Aberta"
"4515/2020","Elétrico"
"4525/2020","Elétrico"
"4537/2020","Espaço Confinado"
"4540/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4540/2020","Uso de Marreta"
"4541/2020","Andaime - Pré-Montagem/Desmontagem"
"4545/2020","Tratamento Mecânico e Pintura"
"4550/2020","Pressurizado"
"4559/2020","Chama Aberta"
"4565/2020","Espaço Confinado"
"4569/2020","Intervenção Automação - PLC"
"4576/2020","Serviço Crítico"
"4578/2020","Andaime - Pré-Montagem/Desmontagem"
"4579/2020","Altura - Acesso por Cordas"
"4595/2020","Pressurizado"
"4607/2020","Altura - Acesso por Cordas"
"4619/2020","Andaime - Pós-Montagem/Utilização"
"4623/2020","Pressurizado"
"4623/2020","Sobre o Mar"
"4628/2020","Andaime - Pós-Montagem/Utilização"
"4654/2020","Andaime - Pós-Montagem/Utilização"
"4666/2020","Altura - Acesso por Cordas"
"4683/2020","Elétrico"
"4689/2020","Pressurizado"
"4694/2020","Altura - Acesso por Cordas"
"4714/2020","Elétrico"
"4719/2020","Risco de Perda de Produção"
"4719/2020","Inibição em funções de Controle e Segurança"
"4737/2020","Elétrico"
"4741/2020","Elétrico"
"4747/2020","Andaime - Pré-Montagem/Desmontagem"
"4757/2020","Pressurizado"
"4757/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4760/2020","Esmerilhadeira e Lixadeira"
"4766/2020","Andaime - Pré-Montagem/Desmontagem"
"4778/2020","Pressurizado"
"4786/2020","Elétrico"
"4790/2020","Altura - Acesso por Cordas"
"4792/2020","Altura - Acesso por Cordas"
"4793/2020","Andaime - Pré-Montagem/Desmontagem"
"4795/2020","Altura - Acesso por Cordas"
"4802/2020","Pressurizado"
"4804/2020","Andaime - Pós-Montagem/Utilização"
"4822/2020","Chama Aberta"
"4827/2020","Andaime - Pós-Montagem/Utilização"
"4837/2020","Andaime - Pré-Montagem/Desmontagem"
"4839/2020","Chama Aberta"
"4854/2020","Altura - Acesso por Cordas"
"4861/2020","Risco de Perda de Produção"
"4867/2020","Chama Aberta"
"4884/2020","Altura - Acesso por Cordas"
"4888/2020","Altura - Acesso por Cordas"
"4889/2020","Pressurizado"
"4915/2020","Tratamento Mecânico e Pintura"
"4916/2020","Andaime - Pós-Montagem/Utilização"
"4926/2020","Serviço Crítico"
"4932/2020","Parafusadeira e Torqueadeira"
"4935/2020","Pressurizado"
"4946/2020","Altura - Acesso por Cordas"
"4948/2020","Tratamento Mecânico e Pintura"
"4953/2020","Intervenção Automação - PLC"
"4962/2020","Elétrico"
"4968/2020","Elétrico"
"4989/2020","Espaço Confinado"
"4995/2020","Acesso e trabalho em casas de bombas"
"5002/2020","Altura - Acesso por Cordas"
"5010/2020","Pressurizado"
